index,label
0,real
1,fake
2,fake
3,real
4,real
5,real
6,fake
7,fake
8,fake
9,real
10,fake
11,fake
12,real
13,fake
14,real
15,real
16,real
17,fake
18,real
19,fake
20,fake
21,fake
22,real
23,fake
24,fake
25,fake
26,real
27,real
28,fake
29,real
30,real
31,fake
32,fake
33,real
34,real
35,fake
36,real
37,real
38,real
39,fake
40,fake
41,real
42,fake
43,fake
44,fake
45,real
46,real
47,fake
48,fake
49,fake
50,fake
51,real
52,real
53,fake
54,fake
55,real
56,real
57,fake
58,fake
59,real
60,fake
61,real
62,real
63,real
64,real
65,real
66,real
67,real
68,fake
69,real
70,real
71,fake
72,real
73,real
74,real
75,fake
76,fake
77,real
78,fake
79,real
80,fake
81,real
82,fake
83,real
84,fake
85,real
86,real
87,fake
88,fake
89,real
90,fake
91,real
92,fake
93,real
94,real
95,fake
96,real
97,fake
98,real
99,fake
100,fake
101,fake
102,fake
103,fake
104,fake
105,real
106,real
107,real
108,real
109,fake
110,real
111,real
112,real
113,real
114,real
115,fake
116,real
117,fake
118,real
119,fake
120,fake
121,real
122,real
123,real
124,real
125,fake
126,fake
127,fake
128,fake
129,real
130,fake
131,real
132,real
133,fake
134,real
135,real
136,real
137,fake
138,fake
139,fake
140,fake
141,fake
142,fake
143,fake
144,fake
145,real
146,fake
147,fake
148,fake
149,real
150,fake
151,real
152,real
153,real
154,real
155,fake
156,real
157,real
158,real
159,real
160,fake
161,real
162,real
163,real
164,real
165,real
166,real
167,real
168,real
169,fake
170,real
171,fake
172,real
173,real
174,real
175,fake
176,fake
177,fake
178,real
179,real
180,real
181,fake
182,fake
183,real
184,fake
185,fake
186,real
187,real
188,real
189,real
190,real
191,real
192,fake
193,real
194,fake
195,real
196,real
197,fake
198,real
199,fake
200,fake
201,real
202,fake
203,fake
204,real
205,fake
206,real
207,fake
208,real
209,real
210,fake
211,real
212,fake
213,fake
214,fake
215,fake
216,real
217,real
218,fake
219,fake
220,real
221,fake
222,real
223,real
224,fake
225,fake
226,fake
227,real
228,real
229,fake
230,real
231,real
232,real
233,real
234,fake
235,real
236,real
237,real
238,fake
239,fake
240,fake
241,real
242,real
243,fake
244,real
245,real
246,fake
247,real
248,real
249,real
250,real
251,fake
252,real
253,real
254,real
255,real
256,real
257,fake
258,real
259,real
260,real
261,fake
262,fake
263,fake
264,real
265,real
266,fake
267,fake
268,fake
269,fake
270,fake
271,real
272,fake
273,real
274,fake
275,real
276,fake
277,fake
278,fake
279,fake
280,fake
281,fake
282,fake
283,real
284,fake
285,fake
286,fake
287,fake
288,real
289,real
290,fake
291,fake
292,fake
293,real
294,real
295,fake
296,real
297,fake
298,real
299,real
300,real
301,fake
302,real
303,real
304,fake
305,fake
306,fake
307,real
308,fake
309,fake
310,real
311,real
312,real
313,fake
314,fake
315,real
316,fake
317,real
318,real
319,real
320,real
321,fake
322,fake
323,real
324,real
325,fake
326,real
327,real
328,fake
329,fake
330,real
331,real
332,real
333,fake
334,fake
335,fake
336,real
337,real
338,real
339,fake
340,fake
341,real
342,fake
343,fake
344,real
345,real
346,real
347,fake
348,real
349,fake
350,fake
351,real
352,real
353,fake
354,real
355,fake
356,fake
357,fake
358,fake
359,fake
360,fake
361,real
362,real
363,fake
364,real
365,fake
366,fake
367,real
368,fake
369,real
370,fake
371,real
372,real
373,real
374,fake
375,real
376,real
377,real
378,fake
379,fake
380,fake
381,fake
382,real
383,fake
384,real
385,fake
386,fake
387,real
388,real
389,real
390,real
391,real
392,fake
393,real
394,real
395,fake
396,fake
397,real
398,fake
399,fake
400,real
401,fake
402,real
403,real
404,real
405,fake
406,real
407,fake
408,fake
409,real
410,fake
411,real
412,fake
413,real
414,real
415,fake
416,fake
417,fake
418,fake
419,real
420,real
421,fake
422,fake
423,real
424,fake
425,real
426,real
427,fake
428,fake
429,real
430,real
431,real
432,real
433,real
434,fake
435,fake
436,fake
437,real
438,real
439,fake
440,fake
441,real
442,fake
443,fake
444,fake
445,fake
446,fake
447,real
448,fake
449,real
450,fake
451,real
452,fake
453,fake
454,real
455,real
456,fake
457,real
458,fake
459,real
460,fake
461,real
462,real
463,real
464,fake
465,fake
466,fake
467,real
468,real
469,fake
470,fake
471,fake
472,fake
473,fake
474,fake
475,fake
476,real
477,fake
478,real
479,real
480,fake
481,fake
482,real
483,fake
484,fake
485,fake
486,fake
487,fake
488,fake
489,fake
490,real
491,real
492,fake
493,real
494,real
495,real
496,real
497,fake
498,real
499,real
500,real
501,fake
502,real
503,fake
504,fake
505,real
506,fake
507,fake
508,fake
509,real
510,real
511,real
512,real
513,real
514,real
515,fake
516,fake
517,fake
518,fake
519,fake
520,real
521,fake
522,fake
523,real
524,real
525,real
526,fake
527,fake
528,fake
529,fake
530,real
531,real
532,real
533,real
534,real
535,real
536,fake
537,fake
538,fake
539,real
540,fake
541,fake
542,real
543,real
544,fake
545,fake
546,fake
547,real
548,fake
549,real
550,real
551,real
552,real
553,fake
554,real
555,fake
556,fake
557,real
558,real
559,real
560,fake
561,real
562,real
563,real
564,fake
565,fake
566,fake
567,real
568,fake
569,fake
570,real
571,real
572,fake
573,fake
574,real
575,real
576,fake
577,real
578,real
579,real
580,fake
581,fake
582,fake
583,real
584,fake
585,fake
586,real
587,real
588,real
589,real
590,fake
591,real
592,real
593,real
594,real
595,fake
596,fake
597,real
598,real
599,real
600,real
601,fake
602,fake
603,fake
604,real
605,real
606,fake
607,real
608,real
609,fake
610,real
611,real
612,fake
613,fake
614,real
615,fake
616,real
617,fake
618,fake
619,fake
620,fake
621,real
622,fake
623,real
624,real
625,fake
626,real
627,fake
628,real
629,real
630,real
631,real
632,real
633,real
634,fake
635,real
636,real
637,fake
638,fake
639,fake
640,fake
641,real
642,real
643,fake
644,fake
645,real
646,real
647,real
648,fake
649,fake
650,fake
651,fake
652,real
653,fake
654,fake
655,fake
656,real
657,real
658,real
659,fake
660,fake
661,fake
662,fake
663,real
664,fake
665,real
666,real
667,fake
668,fake
669,fake
670,fake
671,real
672,fake
673,fake
674,real
675,real
676,fake
677,real
678,real
679,real
680,real
681,fake
682,real
683,real
684,real
685,real
686,fake
687,real
688,real
689,fake
690,real
691,fake
692,real
693,real
694,fake
695,fake
696,fake
697,real
698,real
699,fake
700,fake
701,fake
702,fake
703,real
704,fake
705,fake
706,fake
707,fake
708,fake
709,real
710,real
711,fake
712,real
713,fake
714,fake
715,fake
716,real
717,fake
718,fake
719,real
720,real
721,fake
722,real
723,real
724,real
725,real
726,fake
727,real
728,real
729,real
730,fake
731,fake
732,fake
733,real
734,fake
735,fake
736,real
737,fake
738,real
739,fake
740,real
741,real
742,real
743,real
744,real
745,fake
746,fake
747,real
748,real
749,fake
750,fake
751,real
752,fake
753,real
754,fake
755,fake
756,real
757,real
758,fake
759,real
760,real
761,real
762,fake
763,real
764,fake
765,fake
766,real
767,fake
768,fake
769,fake
770,fake
771,real
772,real
773,real
774,real
775,real
776,fake
777,real
778,fake
779,fake
780,real
781,real
782,real
783,real
784,fake
785,real
786,real
787,fake
788,fake
789,fake
790,real
791,fake
792,fake
793,fake
794,fake
795,real
796,fake
797,real
798,real
799,fake
800,real
801,real
802,fake
803,real
804,fake
805,real
806,real
807,real
808,real
809,real
810,real
811,real
812,fake
813,real
814,fake
815,fake
816,real
817,real
818,real
819,fake
820,fake
821,fake
822,real
823,fake
824,real
825,real
826,real
827,fake
828,fake
829,real
830,fake
831,fake
832,fake
833,fake
834,fake
835,real
836,real
837,fake
838,fake
839,fake
840,real
841,real
842,fake
843,real
844,real
845,real
846,real
847,real
848,real
849,real
850,real
851,real
852,real
853,fake
854,real
855,real
856,fake
857,real
858,real
859,fake
860,fake
861,real
862,fake
863,fake
864,fake
865,fake
866,real
867,fake
868,real
869,fake
870,real
871,real
872,fake
873,real
874,fake
875,fake
876,real
877,fake
878,real
879,real
880,fake
881,fake
882,real
883,fake
884,fake
885,real
886,fake
887,real
888,fake
889,real
890,fake
891,fake
892,fake
893,fake
894,real
895,fake
896,real
897,fake
898,fake
899,fake
900,fake
901,real
902,fake
903,fake
904,fake
905,real
906,real
907,fake
908,real
909,fake
910,fake
911,real
912,real
913,real
914,real
915,fake
916,real
917,real
918,real
919,fake
920,real
921,real
922,real
923,fake
924,fake
925,real
926,real
927,fake
928,real
929,real
930,real
931,real
932,real
933,fake
934,real
935,fake
936,fake
937,fake
938,fake
939,fake
940,fake
941,fake
942,real
943,fake
944,fake
945,fake
946,real
947,fake
948,real
949,real
950,real
951,real
952,real
953,fake
954,fake
955,real
956,fake
957,fake
958,fake
959,real
960,fake
961,real
962,real
963,real
964,fake
965,real
966,real
967,real
968,real
969,real
970,fake
971,fake
972,fake
973,fake
974,real
975,fake
976,real
977,fake
978,real
979,fake
980,real
981,fake
982,real
983,real
984,fake
985,fake
986,real
987,fake
988,real
989,real
990,fake
991,real
992,fake
993,real
994,real
995,real
996,fake
997,real
998,fake
999,real
1000,real
1001,real
1002,real
1003,real
1004,real
1005,real
1006,real
1007,fake
1008,real
1009,fake
1010,real
1011,real
1012,real
1013,real
1014,fake
1015,real
1016,real
1017,real
1018,fake
1019,fake
1020,real
1021,real
1022,real
1023,real
1024,fake
1025,real
1026,real
1027,real
1028,fake
1029,real
1030,real
1031,fake
1032,fake
1033,fake
1034,real
1035,real
1036,fake
1037,fake
1038,real
1039,real
1040,real
1041,real
1042,fake
1043,fake
1044,real
1045,real
1046,real
1047,fake
1048,fake
1049,real
1050,fake
1051,fake
1052,real
1053,fake
1054,fake
1055,fake
1056,fake
1057,fake
1058,real
1059,fake
1060,real
1061,fake
1062,fake
1063,fake
1064,fake
1065,fake
1066,real
1067,fake
1068,fake
1069,fake
1070,fake
1071,real
1072,fake
1073,real
1074,real
1075,real
1076,fake
1077,fake
1078,real
1079,real
1080,fake
1081,real
1082,fake
1083,fake
1084,fake
1085,fake
1086,real
1087,real
1088,real
1089,fake
1090,fake
1091,fake
1092,fake
1093,real
1094,real
1095,real
1096,real
1097,real
1098,real
1099,real
1100,fake
1101,fake
1102,real
1103,fake
1104,fake
1105,real
1106,fake
1107,real
1108,real
1109,fake
1110,fake
1111,fake
1112,real
1113,real
1114,fake
1115,real
1116,fake
1117,fake
1118,fake
1119,fake
1120,real
1121,real
1122,real
1123,fake
1124,fake
1125,real
1126,fake
1127,real
1128,real
1129,fake
1130,real
1131,real
1132,real
1133,fake
1134,real
1135,fake
1136,real
1137,real
1138,fake
1139,real
1140,fake
1141,real
1142,fake
1143,real
1144,fake
1145,fake
1146,fake
1147,real
1148,real
1149,fake
1150,real
1151,fake
1152,real
1153,fake
1154,real
1155,fake
1156,fake
1157,fake
1158,real
1159,fake
1160,fake
1161,real
1162,fake
1163,fake
1164,real
1165,real
1166,real
1167,fake
1168,fake
1169,fake
1170,real
1171,real
1172,real
1173,real
1174,real
1175,real
1176,fake
1177,real
1178,fake
1179,fake
1180,real
1181,real
1182,fake
1183,real
1184,real
1185,real
1186,fake
1187,fake
1188,fake
1189,fake
1190,real
1191,real
1192,fake
1193,real
1194,real
1195,fake
1196,fake
1197,real
1198,real
1199,fake
1200,real
1201,fake
1202,real
1203,fake
1204,fake
1205,real
1206,real
1207,real
1208,fake
1209,fake
1210,real
1211,real
1212,fake
1213,fake
1214,fake
1215,fake
1216,fake
1217,real
1218,fake
1219,real
1220,fake
1221,real
1222,fake
1223,fake
1224,real
1225,fake
1226,real
1227,real
1228,real
1229,fake
1230,real
1231,fake
1232,fake
1233,real
1234,real
1235,real
1236,fake
1237,fake
1238,real
1239,fake
1240,fake
1241,fake
1242,fake
1243,fake
1244,fake
1245,fake
1246,fake
1247,fake
1248,real
1249,fake
1250,real
1251,real
1252,fake
1253,real
1254,real
1255,real
1256,fake
1257,fake
1258,real
1259,fake
1260,real
1261,real
1262,real
1263,real
1264,real
1265,real
1266,real
1267,fake
1268,fake
1269,real
1270,fake
1271,fake
1272,real
1273,fake
1274,real
1275,fake
1276,fake
1277,real
1278,fake
1279,fake
1280,real
1281,real
1282,fake
1283,fake
1284,real
1285,fake
1286,real
1287,fake
1288,real
1289,real
1290,real
1291,real
1292,fake
1293,real
1294,real
1295,real
1296,fake
1297,real
1298,fake
1299,fake
1300,fake
1301,fake
1302,fake
1303,fake
1304,fake
1305,real
1306,real
1307,fake
1308,fake
1309,real
1310,real
1311,fake
1312,fake
1313,fake
1314,fake
1315,real
1316,real
1317,real
1318,real
1319,fake
1320,real
1321,real
1322,fake
1323,fake
1324,real
1325,real
1326,fake
1327,real
1328,real
1329,real
1330,real
1331,real
1332,fake
1333,real
1334,real
1335,fake
1336,fake
1337,real
1338,fake
1339,fake
1340,fake
1341,real
1342,fake
1343,fake
1344,fake
1345,real
1346,fake
1347,fake
1348,fake
1349,fake
1350,fake
1351,fake
1352,fake
1353,fake
1354,real
1355,real
1356,fake
1357,real
1358,real
1359,real
1360,real
1361,fake
1362,real
1363,fake
1364,real
1365,fake
1366,fake
1367,real
1368,real
1369,real
1370,fake
1371,real
1372,real
1373,real
1374,real
1375,fake
1376,fake
1377,fake
1378,fake
1379,fake
1380,fake
1381,real
1382,real
1383,real
1384,real
1385,fake
1386,fake
1387,real
1388,fake
1389,real
1390,fake
1391,real
1392,real
1393,fake
1394,fake
1395,real
